days,unique_sign_in,unique_clipview_play_end,unique_todoclip_play_end,unique_report_create,unique_Student_MAU
2019/11/1,0,0,0,0,0
2019/11/2,0,0,0,0,0
2019/11/3,271,102,98,45,295
2019/11/4,339,108,115,35,368
2019/11/5,532,220,175,50,599
2019/11/6,643,238,246,49,705
2019/11/7,715,255,266,51,784
2019/11/8,722,277,225,69,822
2019/11/9,577,217,167,41,671
2019/11/10,465,113,173,54,524
2019/11/11,736,266,242,74,803
2019/11/12,758,307,254,77,821
2019/11/13,795,329,253,87,897
2019/11/14,775,282,248,101,881
2019/11/15,791,239,244,114,868
2019/11/16,798,311,192,69,858
